Reaction ID	Pathway	Class1	Class2	Class3	Class4	Class5	Class6	SM1A
1.13.11.16-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.13.11.25-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
1.13.11.49-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
1.13.11.6-RXN	NA	Other	Amino Acids Metabolism	NA	NA	NA	NA	NA
1.13.11.9-RXN	NA	Specialized Metabolism	Cofactors Metabolism	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.13.12.7-RXN	NA	Inorganic Nutrients Metabolism	Nucleotides Metabolism	NA	NA	NA	NA	NA
1.14.11.18-RXN	NA	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA	NA
1.14.11.19-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
1.14.11.1-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.14.11.20-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.11.21-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.11.24-RXN	NA	Inorganic Nutrients Metabolism	Specialized Metabolism	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.11.26-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.11.2-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.14.11.9-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
1.14.12.15-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.14.12.18-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.14.12.1-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.14.12.4-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
1.14.13.101-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.103-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
1.14.13.104-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
1.14.13.10-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.117-RXN	NA	Inorganic Nutrients Metabolism	Amino Acids Metabolism	Redox Metabolism	Nucleotides Metabolism	NA	NA	NA
1.14.13.118-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.36-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
1.14.13.42-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.55-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.56-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.57-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
1.14.13.58-RXN	NA	Other	NA	NA	NA	NA	NA	NA
1.14.13.59-RXN	NA	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA	NA
