Reaction ID	Pathway	Class1	Class2	Class3	Class4	Class5	Class6	SM1A
AMINEPHEN-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
AMINOACYLASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
AMINOBENZCOALIG-RXN	NA	Other	Specialized Metabolism	NA	NA	NA	NA	Nitrogen-Containing Compounds
AMINOBUTDEHYDROG-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN	NA	Other	Amino Acids Metabolism	NA	NA	NA	NA	NA
AMINOCYL-TRNA-HYDROLASE-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
AMINOGLYCOSIDE-N3-ACETYLTRANSFERASE-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
AMINOGLYCOSIDE-N6-ACETYLTRANSFERASE-RXN	NA	Cofactors Metabolism	Carbohydrates Metabolism	Specialized Metabolism	NA	NA	NA	NA
AMINOPROPDEHYDROG-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
AMONITRO-RXN	NA	Inorganic Nutrients Metabolism	Energy Metabolism	NA	NA	NA	NA	NA
AMP-DEAMINASE-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
AMP-DEPHOSPHORYLATION-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
AMP-NUCLEOSID-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
AMPSYN-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
AMVAL-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
AMYGDALIN-BETA-GLUCOSIDASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
AMYLOMALT-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
ANTHRANILATE-N-BENZOYLTRANSFERASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
ANTHRANILATE-N-METHYLTRANSFERASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
ANTHRANILOYL-COA-MONOOXYGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
ANTHRANSYN-RXN	NA	Specialized Metabolism	Amino Acids Metabolism	NA	NA	NA	NA	Nitrogen-Containing Compounds
APIGENIN-4-O-METHYLTRANSFERASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
APIGNAR-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
APYRASE-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
AQUACOBALAMIN-REDUCTASE-NADPH-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
AQUACOBALAMIN-REDUCTASE-RXN	NA	Cofactors Metabolism	Redox Metabolism	Nucleotides Metabolism	NA	NA	NA	NA
ARABINONATE-DEHYDRATASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
ARABISOM-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
ARACHIDONATE-12-LIPOXYGENASE-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
ARACHIDONATE-15-LIPOXYGENASE-RXN	NA	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA	NA
ARACHIDONATE-5-LIPOXYGENASE-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
ARACHIDONATE-8-LIPOXYGENASE-RXN	NA	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA	NA
ARACHIDONATE--COA-LIGASE-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
ARALKYLAMINE-N-ACETYLTRANSFERASE-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
ARGDECARBOX-RXN	NA	Detoxification Metabolism	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA
ARGINASE-RXN	NA	Amino Acids Metabolism	Inorganic Nutrients Metabolism	Amines and Polyamines Metabolism	NA	NA	NA	NA
ARGININE-2-MONOOXYGENASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
ARGININE-DEIMINASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
ARGININE-N-SUCCINYLTRANSFERASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
ARGININE--TRNA-LIGASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
ARGINYLTRANSFERASE-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
ARG-OXIDATION-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
ARGSUCCINLYA-RXN	NA	Amino Acids Metabolism	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA
ARGSUCCINSYN-RXN	NA	Amino Acids Metabolism	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA
ARISTOLOCHENE-SYNTHASE-RXN	NA	Inorganic Nutrients Metabolism	Fatty Acids and Lipids Metabolism	Specialized Metabolism	NA	NA	NA	NA
AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	NA	Primary-Specialized Interface Metabolism	Specialized Metabolism	Hormones Metabolism	Amino Acids Metabolism	NA	NA	Nitrogen-Containing Compounds
ARYL-ACYLAMIDASE-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
ARYL-ALCOHOL-DEHYDROGENASE-NADP+RXN	NA	Unclassified	NA	NA	NA	NA	NA	NA
ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN	NA	Unclassified	NA	NA	NA	NA	NA	NA
ARYL-ALCOHOL-OXIDASE-RXN	NA	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA	NA
ARYL-ALDEHYDE-OXIDASE-RXN	NA	Unclassified	NA	NA	NA	NA	NA	NA
ARYLAMINE-SULFOTRANSFERASE-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
ARYLDIALKYLPHOSPHATASE-RXN	NA	Unclassified	NA	NA	NA	NA	NA	NA
ARYLDIALKYL-PHOSPHATASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
ARYLESTERASE-RXN	NA	Unclassified	NA	NA	NA	NA	NA	NA
ARYLFORMAMIDASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
ARYLSULFAT-RXN	NA	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA	NA
ARYL-SULFOTRANSFERASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	NA
ASNSYNA-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
ASNSYNB-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
ASPAMINOTRANS-RXN	NA	Amino Acids Metabolism	Energy Metabolism	NA	NA	NA	NA	NA
ASPARAGHYD-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
ASPARAGINE--TRNA-LIGASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
ASPARTASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
ASPARTATEKIN-RXN	NA	Amino Acids Metabolism	Amines and Polyamines Metabolism	Specialized Metabolism	NA	NA	NA	Nitrogen-Containing Compounds
ASPARTATE-N-ACETYLTRANSFERASE-RXN	NA	Amino Acids Metabolism	Cofactors Metabolism	NA	NA	NA	NA	NA
ASPARTATE-RACEMASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	NA	Amino Acids Metabolism	Amines and Polyamines Metabolism	Specialized Metabolism	NA	NA	NA	Nitrogen-Containing Compounds
ASPARTATE--TRNA-LIGASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
ASPCARBTRANS-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
ASPDECARBOX-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
ATP-ADENYLYLTRANSFERASE-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
ATP-CITRATE-PRO-S--LYASE-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
ATP-DEAMINASE-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
ATPPHOSPHORIBOSYLTRANS-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
ATP-PYROPHOSPHATASE-RXN	NA	Inorganic Nutrients Metabolism	Nucleotides Metabolism	NA	NA	NA	NA	NA
ATPSYN-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
AZOBENZENE-REDUCTASE-RXN	NA	Redox Metabolism	Amines and Polyamines Metabolism	Nucleotides Metabolism	NA	NA	NA	NA
BA7DEHYDRA-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BACOAHYDRO-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BADEL4OXRED-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BADEL6OXRED-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BADH-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
BAI3OXO-OXRED-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BAIAEUBSP-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BARBITURASE-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
BENZALDEHYDE-DEHYDROGENASE-NAD+RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	NA	Other	Specialized Metabolism	NA	NA	NA	NA	Phenylpropanoid Derivatives
BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BENZENE-12-DIOXYGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BENZOATE-12-DIOXYGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BENZOATE-4-MONOOXYGENASE-RXN	NA	Inorganic Nutrients Metabolism	Redox Metabolism	Nucleotides Metabolism	NA	NA	NA	NA
BENZOATE--COA-LIGASE-RXN	NA	Other	Specialized Metabolism	NA	NA	NA	NA	Phenylpropanoid Derivatives
BENZOYLFORMATE-DECARBOXYLASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BENZYL-ALC-DEHYDROGENASE-RXN	NA	Specialized Metabolism	Other	NA	NA	NA	NA	Phenylpropanoid Derivatives
BENZYL-ALCOHOL-DEHYDROGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BETA-9-CYTOKININ-ALANINE-SYNTHASE-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
BETAGALACTOSID-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
BETA-GLUCURONID-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
BETA-LACTAMASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Nitrogen-Containing Compounds
BETA-LYSINE-56-AMINOMUTASE-RXN	NA	Energy Metabolism	Amino Acids Metabolism	NA	NA	NA	NA	NA
BETA-PHOSPHOGLUCOMUTASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
BETA-UREIDOPROPIONASE-RXN	NA	Amino Acids Metabolism	Cofactors Metabolism	NA	NA	NA	NA	NA
BHBDCLOS-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
BILIRUBIN-OXIDASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BILIVERDIN-REDUCTASE-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
BIOTIN-CARBOXYL-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
BIOTINLIG-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
BISPHOSPHOGLYCERATE-MUTASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
BISPHOSPHOGLYCERATE-PHOSPHATASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
BORNEOL-DEHYDROGENASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
BSDOSALCAL-RXN	NA	Other	NA	NA	NA	NA	NA	NA
BTUR2-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
BUTANAL-DEHYDROGENASE-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
BUTYRATE--COA-LIGASE-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
BUTYRATE-KINASE-RXN	NA	Energy Metabolism	Amino Acids Metabolism	NA	NA	NA	NA	NA
BUTYRYL-COA-DEHYDROGENASE-RXN	NA	Energy Metabolism	Amino Acids Metabolism	Specialized Metabolism	Amines and Polyamines Metabolism	NA	NA	Phenylpropanoid Derivatives
C04718-C060066-AUTOTRANSFORMATION-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
CAFFEATE-O-METHYLTRANSFERASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN	NA	Carbohydrates Metabolism	Specialized Metabolism	NA	NA	NA	NA	Phenylpropanoid Derivatives
CALCIDIOL-1-MONOOXYGENASE-RXN	NA	Hormones Metabolism	Cofactors Metabolism	NA	NA	NA	NA	NA
CARBAMATE-KINASE-RXN	NA	Amino Acids Metabolism	Amines and Polyamines Metabolism	Energy Metabolism	NA	NA	NA	NA
CARBODEHYDRAT-RXN	NA	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA	NA
CARBON-MONOXIDE-DEHYDROGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CARBONYL-REDUCTASE-NADPH-RXN	NA	Unclassified	NA	NA	NA	NA	NA	NA
CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
CARBOXYLESTERASE-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
CARBOXYMETHYLENEBUTENOLIDASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CARBPSYN-RXN	NA	Amino Acids Metabolism	Nucleotides Metabolism	NA	NA	NA	NA	NA
CARDIOLIPSYN-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
CARNDETRU-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
CARNITINE-3-DEHYDROGENASE-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
CARNOSINE-SYNTHASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
CARVEOL-DEHYDROGENASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
CASBENE-SYNTHASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Terpenoids
CATAL-RXN	NA	Detoxification Metabolism	Redox Metabolism	Other	NA	NA	NA	NA
CATECHOL-12-DIOXYGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CATECHOL-23-DIOXYGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CATECHOL-2-3-DIOXYGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CATECHOL-O-METHYLTRANSFERASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
CATECHOL-OXIDASE-RXN	NA	Redox Metabolism	NA	NA	NA	NA	NA	NA
CBBLSSYN-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
CDPDIGLYSYN-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
CDP-GLUCOSE-46-DEHYDRATASE-RXN	NA	Carbohydrates Metabolism	Nucleotides Metabolism	NA	NA	NA	NA	NA
CDP-GLYCEROL-PYROPHOSPHATASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CDPKIN-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
CDPREDUCT-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
CELLOBIOSE-PHOSPHORYLASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
CELLODEXTRIN-PHOSPHORYLASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
CELLULOSE-SYNTHASE-GDP-FORMING-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
CERAMIDASE-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
CERAMIDASE-YEAST-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
CERAMIDE-GLUCOSYLTRANSFERASE-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
CERAMIDE-KINASE-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
CHALCONE-ISOMERASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
CHD-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
CHER-RXN	NA	Macromolecules Metabolism	NA	NA	NA	NA	NA	NA
CHITIN-DEACETYLASE-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
CHITIN-SYNTHASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN	NA	Detoxification Metabolism	NA	NA	NA	NA	NA	NA
CHLORIDE-PEROXIDASE-RXN	NA	Unclassified	NA	NA	NA	NA	NA	NA
CHLOROBENDDH-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CHLOROCATDIOXY-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CHLOROGENATE-HYDROLASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CHLOROMALERED-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CHLOROMUCISOM-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CHLOROPHYLLASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CHMS-DEHYDROGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CHOLATE--COA-LIGASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CHOLESTENONE-5-BETA-REDUCTASE-RXN	NA	Redox Metabolism	Nucleotides Metabolism	NA	NA	NA	NA	NA
CHOLESTEROL-7-ALPHA-MONOOXYGENASE-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
CHOLESTEROL-OXIDASE-RXN	NA	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA	NA
CHOLINE-KINASE-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
CHOLINE-SULFATASE-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
CHOLOYLGLYCINE-HYDROLASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CHONDRO-4-SULFATASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
CHONDRO-6-SULFATASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
CHONDROITIN-4-SULFOTRANSFERASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
CHONDROITIN-6-SULFOTRANSFERASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
CHONDROITIN-GLUCURONATE-5-EPIMERASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
CHORISMATEMUT-RXN	NA	Amino Acids Metabolism	Specialized Metabolism	NA	NA	NA	NA	Other
CHORISMATE-SYNTHASE-RXN	NA	Primary-Specialized Interface Metabolism	NA	NA	NA	NA	NA	NA
CHORPYRLY-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
CINNAMATE-GLUCOSYLTRANSFERASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
CINNAMOYL-COA-REDUCTASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
CINNAMYL-ALCOHOL-DEHYDROGENASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
CITC-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CITLY-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
CITRAMALATE-LYASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
CITRAMALYL-COA-LYASE-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
CITRATE--COA-LIGASE-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CITRULLINASE-RXN	NA	Nucleotides Metabolism	Amino Acids Metabolism	NA	NA	NA	NA	NA
CITRYLY-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
CITSYN-RXN	NA	Energy Metabolism	Carbohydrates Metabolism	Amino Acids Metabolism	NA	NA	NA	NA
CITTRANS-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
CMPKI-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
COA-DISULFIDE-REDUCTASE-NADH-RXN	NA	Redox Metabolism	Detoxification Metabolism	NA	NA	NA	NA	NA
COBALADENOSYLTRANS-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
COBALAMIN5PSYN-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
COBALAMINSYN-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
COBINAMIDEKIN-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
COBINPGUANYLYLTRANS-RXN	NA	Cofactors Metabolism	NA	NA	NA	NA	NA	NA
COLCYD-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CONIFERIN-BETA-GLUCOSIDASE-RXN	NA	Specialized Metabolism	NA	NA	NA	NA	NA	Phenylpropanoid Derivatives
CORTISONE-BETA-REDUCTASE-RXN	NA	Redox Metabolism	Nucleotides Metabolism	NA	NA	NA	NA	NA
CPM-KDOSYNTH-RXN	NA	Carbohydrates Metabolism	Nucleotides Metabolism	NA	NA	NA	NA	NA
CREATINASE-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
CREATINE-KINASE-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
CREATININASE-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
CREATININE-DEAMINASE-RXN	NA	Amino Acids Metabolism	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA
CROBETREDUCT-RXN	NA	Amines and Polyamines Metabolism	NA	NA	NA	NA	NA	NA
CTPSYN-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
CYANIDE-HYDRATASE-RXN	NA	Detoxification Metabolism	NA	NA	NA	NA	NA	NA
CYCLOARTENOL-SYNTHASE-RXN	NA	Specialized Metabolism	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	Terpenoids
CYCLOEUCALENOL-CYCLOISOMERASE-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
CYCLOHEXANOL-DEHYDROGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CYCLOHEXANONE-MONOOXYGENASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CYCLOMALTODEXTRINASE-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
CYCLOPENTANOL-DEHYDROGENASE-RXN	NA	Energy Metabolism	NA	NA	NA	NA	NA	NA
CYCPHOSDIESTER-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CYDTER-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CYSPH-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
CYSTAGLY-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
CYSTATHIONINE-BETA-LYASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
CYSTATHIONINE-BETA-SYNTHASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
CYSTEAMINE-DIOXYGENASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
CYSTEINE-AMINOTRANSFERASE-RXN	NA	Other	Inorganic Nutrients Metabolism	Amino Acids Metabolism	Energy Metabolism	NA	NA	NA
CYSTEINE-DIOXYGENASE-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
CYSTEINE-S-CONJUGATE-BETA-LYASE-RXN	NA	Detoxification Metabolism	NA	NA	NA	NA	NA	NA
CYSTEINE--TRNA-LIGASE-RXN	NA	Other	NA	NA	NA	NA	NA	NA
CYTDEAM-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
CYTIDEAM2-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
CYTIDEAM-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
CYTIDINEKIN-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
CYTIKIN-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
CYTOCHROME-B5-REDUCTASE-RXN	NA	Fatty Acids and Lipids Metabolism	NA	NA	NA	NA	NA	NA
CYTOCHROME-C-OXIDASE-RXN	NA	Energy Metabolism	Inorganic Nutrients Metabolism	NA	NA	NA	NA	NA
CYTOCHROME-C-PEROXIDASE-RXN	NA	Redox Metabolism	NA	NA	NA	NA	NA	NA
CYTOKININ-7-BETA-GLUCOSYLTRANSFERASE-RXN	NA	Hormones Metabolism	NA	NA	NA	NA	NA	NA
DADPKIN-RXN	NA	Nucleotides Metabolism	NA	NA	NA	NA	NA	NA
DAHPSYN-RXN	NA	Carbohydrates Metabolism	NA	NA	NA	NA	NA	NA
DALADALALIG-RXN	NA	Other	NA	NA	NA	NA	NA	NA
DALADEHYDROG-RXN	NA	Amino Acids Metabolism	NA	NA	NA	NA	NA	NA
